sku,product_type,attribute_set_code,product_websites,name,description,short_description,weight,product_online,categories,price,special_price,visibility,tax_class_name,manufacturer,color,meta_title,meta_keywords,meta_description,base_image,small_image,thumbnail_image,additional_images,swatch_image,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_attributes,url_key
HDP-1001,simple,Default,base,Heavy Duty Pneumatic Cylinder,High-performance pneumatic cylinder for industrial automation applications. Features precision-machined components for smooth operation and long service life. Includes mounting brackets and connection fittings.,Heavy-duty pneumatic cylinder for industrial automation,3.5,1,Industrial Parts/Pneumatic Components,189.99,175.99,"Catalog, Search",Taxable Goods,Parker,Silver,Heavy Duty Pneumatic Cylinder | Industrial Parts,"pneumatic cylinder, industrial automation, heavy duty",High-performance pneumatic cylinder with precision-machined components for industrial automation applications,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HDP-1001.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HDP-1001.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HDP-1001.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HDP-1001.jpg ,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"max_pressure=150PSI,bore_diameter=2.5inches,stroke_length=10inches,mounting_type=universal",heavy-duty-pneumatic-cylinder
HEC-2002,simple,Default,base,High Efficiency Electric Motor,Industrial-grade electric motor with premium efficiency rating. Features copper windings and precision bearings for reduced energy consumption and extended operational life. Suitable for continuous operation environments.,Premium efficiency industrial electric motor,25.8,1,Industrial Parts/Electric Motors,349.99,329.99,"Catalog, Search",Taxable Goods,Siemens,Black,High Efficiency Electric Motor | Industrial Parts,"electric motor, high efficiency, industrial grade",Energy-efficient industrial electric motor with premium copper windings and precision bearings,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HEC-2002.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HEC-2002.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HEC-2002.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HEC-2002.jpg ,50,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"horsepower=5HP,voltage=480V,phase=three,rpm=1750,efficiency_rating=premium,frame_size=184T",high-efficiency-electric-motor
PSV-3003,simple,Default,base,Precision Solenoid Valve,"Stainless steel solenoid valve designed for precise flow control in demanding industrial environments. Features low power consumption and fast response time. Compatible with various media including water, air, and light oils.",Precision solenoid valve for industrial flow control,0.85,1,Industrial Parts/Valves,112.5,99.99,"Catalog, Search",Taxable Goods,SMC,Silver,Precision Solenoid Valve | Industrial Parts,"solenoid valve, flow control, stainless steel",High-precision stainless steel solenoid valve for demanding industrial flow control applications,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PSV-3003.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PSV-3003.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PSV-3003.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PSV-3003.jpg ,120,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"port_size=1/4inch,operating_pressure=0-145PSI,voltage=24VDC,media=air|water|oil,response_time=20ms",precision-solenoid-valve
ISS-4004,simple,Default,base,Industrial Safety Switch,Heavy-duty safety interlock switch for industrial machinery protection. Features reinforced housing and tamper-resistant design. Complies with international safety standards for machinery protection.,Safety interlock switch for industrial machinery,0.65,1,Industrial Parts/Safety Equipment,78.5,74.99,"Catalog, Search",Taxable Goods,Allen-Bradley,Yellow,Industrial Safety Switch | Safety Equipment,"safety switch, interlock, machinery protection",Heavy-duty safety interlock switch with tamper-resistant design for industrial machinery protection,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ISS-4004.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ISS-4004.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ISS-4004.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ISS-4004.jpg ,85,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"switch_type=interlock,safety_rating=PLe,contacts=2NO+1NC,housing_material=reinforced_polymer,connection_type=M12",industrial-safety-switch
BPG-5005,simple,Default,base,Bearing Precision Gearbox,High-precision industrial gearbox with helical gearing for smooth power transmission. Features case-hardened steel construction and premium bearings for reduced backlash and noise. Ideal for automation and robotics applications.,High-precision gearbox for industrial automation,12.4,1,Industrial Parts/Power Transmission,459.99,429.99,"Catalog, Search",Taxable Goods,SEW-EURODRIVE,Gray,Bearing Precision Gearbox | Power Transmission,"gearbox, precision, industrial automation",High-precision industrial gearbox with helical gearing for smooth and accurate power transmission,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/BPG-5005.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/BPG-5005.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/BPG-5005.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/BPG-5005.jpg ,35,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"ratio=10:1,backlash=<5arcmin,input_type=servo,output_type=keyed_shaft,lubrication=lifetime",bearing-precision-gearbox
HPC-6006,simple,Default,base,Hydraulic Pressure Control,Advanced hydraulic pressure control valve with proportional operation. Features digital control interface and precision-machined components for accurate pressure regulation. Suitable for integration with automated systems.,Advanced hydraulic proportional pressure control,3.2,1,Industrial Parts/Hydraulic Components,235.75,219.99,"Catalog, Search",Taxable Goods,Bosch Rexroth,Blue,Hydraulic Pressure Control | Hydraulic Components,"hydraulic, pressure control, proportional valve",Advanced hydraulic pressure control valve with digital interface for precise pressure regulation,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HPC-6006.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HPC-6006.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HPC-6006.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/HPC-6006.jpg ,40,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"max_pressure=350bar,flow_capacity=60LPM,control_type=proportional,input_signal=0-10V,port_size=SAE8",hydraulic-pressure-control
ITC-7007,simple,Default,base,Industrial Temperature Controller,Programmable temperature controller with multi-zone capability. Features PID control algorithm and auto-tuning for precise temperature regulation. Includes multiple sensor inputs and alarm functionality.,Programmable multi-zone temperature controller,0.75,1,Industrial Parts/Control Systems,182.5,169.95,"Catalog, Search",Taxable Goods,Omron,Black,Industrial Temperature Controller | Control Systems,"temperature controller, PID, industrial",Programmable temperature controller with multi-zone capability and precise PID control,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ITC-7007.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ITC-7007.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ITC-7007.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/ITC-7007.jpg ,60,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"input_type=thermocouple|RTD,control_algorithm=PID,display=dual_LED,communication=RS485,mounting=DIN_rail",industrial-temperature-controller
PLF-8008,simple,Default,base,Precision Linear Bearing,"High-precision linear bearing system for industrial motion applications. Features hardened steel raceways and precision ball elements for smooth, low-friction movement. Includes mounting holes for easy installation.",Precision linear bearing for industrial motion systems,2.1,1,Industrial Parts/Mechanical Components,94.99,89.99,"Catalog, Search",Taxable Goods,THK,Silver,Precision Linear Bearing | Mechanical Components,"linear bearing, motion control, precision",High-precision linear bearing with hardened steel raceways for smooth industrial motion control,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PLF-8008.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PLF-8008.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PLF-8008.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PLF-8008.jpg ,75,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"shaft_diameter=20mm,length=60mm,dynamic_load=1800N,static_load=2500N,material=chrome_steel",precision-linear-bearing
IPS-9009,simple,Default,base,Industrial Power Supply,Heavy-duty industrial power supply with wide input voltage range. Features short-circuit and overload protection for reliable operation in harsh environments. DIN rail mountable for easy installation in control cabinets.,Heavy-duty industrial DIN rail power supply,1.45,1,Industrial Parts/Electrical Components,129.99,119.95,"Catalog, Search",Taxable Goods,Phoenix Contact,Gray,Industrial Power Supply | Electrical Components,"power supply, industrial, DIN rail",Heavy-duty industrial power supply with protection features for reliable operation in harsh environments,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IPS-9009.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IPS-9009.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IPS-9009.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/IPS-9009.jpg ,90,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"input_voltage=85-264VAC,output_voltage=24VDC,output_current=10A,efficiency=94percent,protection=OVP|OCP|SCP",industrial-power-supply
PFS-1010,simple,Default,base,Pneumatic Filter System,"Industrial-grade compressed air filter system with multi-stage filtration. Features automatic drain and pressure gauge. Removes water, oil, and particulate contaminants for clean air delivery to pneumatic systems.",Multi-stage pneumatic air filter system,2.8,1,Industrial Parts/Pneumatic Components,135.5,125.99,"Catalog, Search",Taxable Goods,Festo,Blue,Pneumatic Filter System | Pneumatic Components,"air filter, pneumatic, compressed air",Industrial-grade multi-stage compressed air filter system for clean air delivery to pneumatic systems,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PFS-1010.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PFS-1010.jpg ,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PFS-1010.jpg ,,https://raw.githubusercontent.com/slamech/commerce-sample-data/refs/heads/main/images/PFS-1010.jpg ,55,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,"port_size=3/8inch,filtration=5micron,max_pressure=175PSI,bowl_material=metal,drain_type=auto",pneumatic-filter-system
