## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.color,entity.category,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
MH13,Marco Lightweight Active Hoodie,Men / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/h/mh13-blue_main_2.jpg,74,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MH13,,,blue,Men / Tops,,,,,,,,,
MS01,Aero Daily Fitness Tee,Men / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/s/ms01-blue_main_1.jpg,24,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MS01,,,blue,Men / Tops,,,,,,,,,
MH07,Hero Hoodie,Men / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/h/mh07-gray_main_2.jpg,54,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MH07,,,gray,Men / Tops,,,,,,,,,
MJ09,Taurus Elements Shell,Men / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/j/mj09-yellow_main_2.jpg,65,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MJ09,,,yellow,Men / Tops,,,,,,,,,
MT02,Tristan Endurance Tank,Men / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/t/mt02-white_main_2.jpg,29,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MT02,,,white,Men / Tops,,,,,,,,,
MP12,Cronus Yoga Pant ,Men / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp12-black_main_1.jpg,48,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP12,,,black,Men / Bottoms,,,,,,,,,
MP11,Aether Gym Pant ,Men / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp11-brown_main_1.jpg,74,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP11,,,brown,Men / Bottoms,,,,,,,,,
MP10,Orestes Yoga Pant ,Men / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp10-black_main_2.jpg,66,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP10,,,black,Men / Bottoms,,,,,,,,,
MP09,Livingston All-Purpose Tight,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp09-blue_main_1.jpg,75,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP09,,,blue,New Luma Yoga Collection,,,,,,,,,
MP08,Zeppelin Yoga Pant,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp08-green_main_1.jpg,82,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP08,,,green,New Luma Yoga Collection,,,,,,,,,
